constituency_population,candidates_count,literacy_rate,is_urban,voter_turnout_pct
320467,9,80.1,1,60.88
782796,11,87.3,1,86.82
728581,10,83.7,1,75.42
552884,26,84.1,0,43.07
279501,14,66.6,1,58.24
285623,28,65.3,0,27.7
563256,24,57.9,0,35.63
659315,15,69.1,0,50.08
501213,20,90.5,1,71.82
807715,21,67.4,0,43.8
921651,15,68.0,0,58.3
328811,28,68.8,1,34.09
570129,27,72.7,0,38.4
785381,26,67.9,1,53.62
950877,9,64.7,0,64.2
381737,18,89.7,0,47.73
737133,24,77.8,1,66.56
800372,18,78.1,0,59.09
382024,12,88.5,0,58.94
681639,30,71.1,0,35.82
