constituency_population,candidates_count,literacy_rate,is_urban,voter_turnout_pct
230630,13,86.0,1,59.26
190888,10,93.0,1,73.15
397724,7,56.0,0,55.12
262657,9,64.8,1,58.74
146225,11,52.5,0,38.06
361259,15,73.3,0,38.3
322992,12,63.4,0,56.56
152942,15,69.9,1,53.52
471873,6,85.7,0,63.7
307847,8,60.9,0,47.88
253950,5,76.2,0,63.76
246599,10,78.1,1,61.02
235449,8,93.2,0,59.26
470891,14,92.9,0,53.47
289403,3,79.5,0,62.49
471746,10,54.1,0,44.33
146016,7,59.4,1,48.34
404240,6,92.6,0,61.61
385422,10,60.1,0,46.0
195758,10,52.5,0,37.71
354287,10,54.3,1,50.78
319782,14,53.6,0,40.83
147452,13,76.5,1,48.01
302899,15,72.2,0,45.99
446413,7,53.8,1,62.14
